2820ms  Y:-32.25
6104ms  Y:0.50
6128ms  Y:-0.56
6150ms  Y:-2.25
6172ms  Y:-5.63
6194ms  Y:-7.88
6215ms  Y:-10.00
6237ms  Y:-12.06
6259ms  Y:-14.13
6282ms  Y:-16.13
6303ms  Y:-19.13
6325ms  Y:-20.94
6346ms  Y:-21.94
6369ms  Y:-22.88
6390ms  Y:-24.13
6412ms  Y:-27.13
6433ms  Y:-32.44
6455ms  Y:-35.69
6477ms  Y:-38.31
6499ms  Y:-40.63
6521ms  Y:-42.81
6543ms  Y:-46.00
6564ms  Y:-48.00
6586ms  Y:-49.94
6608ms  Y:-51.75
6631ms  Y:-53.50
6652ms  Y:-55.88
6674ms  Y:-57.00
6695ms  Y:-57.81
6718ms  Y:-58.38
6739ms  Y:-58.69
6764ms  Y:-58.63
6786ms  Y:-58.25
6807ms  Y:-57.63
6830ms  Y:-56.75
6851ms  Y:-55.56
6873ms  Y:-53.00
6894ms  Y:-50.69
6916ms  Y:-48.00
6937ms  Y:-44.69
6960ms  Y:-40.94
6982ms  Y:-37.00
7004ms  Y:-31.31
7025ms  Y:-27.94
7047ms  Y:-24.88
7069ms  Y:-22.13
7091ms  Y:-19.38
7113ms  Y:-16.50
7135ms  Y:-12.13
7156ms  Y:-9.31
7179ms  Y:-6.56
7200ms  Y:-3.88
7223ms  Y:-1.06
7244ms  Y:3.13
7266ms  Y:5.81
7287ms  Y:8.31
7310ms  Y:10.44
7332ms  Y:12.25
7354ms  Y:14.69
7375ms  Y:16.25
7400ms  Y:18.00
7422ms  Y:19.81
7444ms  Y:21.81
7465ms  Y:24.38
7487ms  Y:25.88
7510ms  Y:27.63
7532ms  Y:29.56
7554ms  Y:32.19
7575ms  Y:37.44
7597ms  Y:41.81
7619ms  Y:46.13
7641ms  Y:50.19
7663ms  Y:54.06
7685ms  Y:59.94
7706ms  Y:64.00
7728ms  Y:67.94
7749ms  Y:71.25
7772ms  Y:73.94
7793ms  Y:76.00
7815ms  Y:77.94
7836ms  Y:78.94
7858ms  Y:79.94
7880ms  Y:80.75
7902ms  Y:80.94
7924ms  Y:80.38
7946ms  Y:78.19
7967ms  Y:75.94
7989ms  Y:72.94
8011ms  Y:68.94
8034ms  Y:63.56
8058ms  Y:54.50
8081ms  Y:48.94
8102ms  Y:43.44
8125ms  Y:37.81
8146ms  Y:29.19
8168ms  Y:23.69
8189ms  Y:18.75
8212ms  Y:14.69
8235ms  Y:11.69
8256ms  Y:7.88
8278ms  Y:4.94
8299ms  Y:1.56
8322ms  Y:-1.81
8343ms  Y:-5.00
8365ms  Y:-7.50
8386ms  Y:-10.75
8408ms  Y:-13.00
8430ms  Y:-15.25
8452ms  Y:-17.25
8474ms  Y:-19.00
8496ms  Y:-21.19
8517ms  Y:-22.56
8539ms  Y:-24.06
8561ms  Y:-25.56
8584ms  Y:-26.94
8605ms  Y:-28.13
8627ms  Y:-30.00
8648ms  Y:-31.44
8671ms  Y:-32.88
8692ms  Y:-34.13
8717ms  Y:-35.69
8738ms  Y:-36.44
8760ms  Y:-37.19
8782ms  Y:-37.75
8804ms  Y:-37.88
8826ms  Y:-37.44
8848ms  Y:-34.94
8869ms  Y:-31.31
8891ms  Y:-26.06
8913ms  Y:-19.56
8936ms  Y:-12.19
8957ms  Y:-0.88
8979ms  Y:6.13
9000ms  Y:12.19
9023ms  Y:17.31
9044ms  Y:21.94
9066ms  Y:26.38
9088ms  Y:32.75
9109ms  Y:36.69
9132ms  Y:40.38
9153ms  Y:44.06
9176ms  Y:47.56
9197ms  Y:52.63
9219ms  Y:55.88
9240ms  Y:59.06
9263ms  Y:62.31
9285ms  Y:65.56
9308ms  Y:68.69
9329ms  Y:72.94
9353ms  Y:75.19
9375ms  Y:76.63
9398ms  Y:77.25
9419ms  Y:77.69
9441ms  Y:77.94
9463ms  Y:78.19
9486ms  Y:78.44
9507ms  Y:78.75
9529ms  Y:79.13
9550ms  Y:79.44
9573ms  Y:79.63
9594ms  Y:79.88
9617ms  Y:80.13
9638ms  Y:80.75
9660ms  Y:81.00
9682ms  Y:80.81
9704ms  Y:80.31
9726ms  Y:79.25
9748ms  Y:77.13
9769ms  Y:72.06
9791ms  Y:67.81
9814ms  Y:63.06
9836ms  Y:58.06
9858ms  Y:52.69
9879ms  Y:44.31
9901ms  Y:39.13
9923ms  Y:34.63
9945ms  Y:30.56
9967ms  Y:26.38
9989ms  Y:19.88
10014ms  Y:15.88
10037ms  Y:12.44
10058ms  Y:9.50
10080ms  Y:4.94
10101ms  Y:1.56
10124ms  Y:-1.94
10146ms  Y:-5.56
10169ms  Y:-9.00
10190ms  Y:-13.31
10212ms  Y:-15.69
10234ms  Y:-18.00
10256ms  Y:-20.19
10278ms  Y:-22.13
10300ms  Y:-24.69
10321ms  Y:-26.38
10343ms  Y:-27.88
10365ms  Y:-29.38
10388ms  Y:-30.69
10409ms  Y:-32.19
10431ms  Y:-32.94
10452ms  Y:-33.38
10475ms  Y:-33.81
10497ms  Y:-34.38
10519ms  Y:-34.81
10541ms  Y:-35.31
10562ms  Y:-35.69
10584ms  Y:-36.00
10605ms  Y:-36.06
10630ms  Y:-35.50
10651ms  Y:-34.06
10673ms  Y:-31.19
10694ms  Y:-26.38
10717ms  Y:-20.00
10740ms  Y:-12.69
10762ms  Y:-2.00
